date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:22:39	146/146	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Sep%202025%2002:22:34%20GMT	https://web.archive.org/robots.txt		(from )
14:22:40	41696/41696	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Sep%202025%2002:22:35%20GMT	https://web.archive.org/web/20210402140616/https://kfbl.webs.com/	C:/My%20Web%20Sites/KFBL/web.archive.org/web/20210402140616/https_/kfbl.webs.com/index.html	(from )
14:22:41	26452/26452	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2013%20Aug%202025%2001:23:27%20GMT	https://web-static.archive.org/_static/js/bundle-playback.js?v=FC38Hc5A	C:/My%20Web%20Sites/KFBL/web-static.archive.org/_static/js/bundle-playback0e4c.js	(from https://web.archive.org/web/20210402140616/https://kfbl.webs.com/)
14:22:42	126763/126763	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2013%20Aug%202025%2001:23:27%20GMT	https://web-static.archive.org/_static/js/wombat.js?v=txqj7nKC	C:/My%20Web%20Sites/KFBL/web-static.archive.org/_static/js/wombat9b8c.js	(from https://web.archive.org/web/20210402140616/https://kfbl.webs.com/)
14:22:42	9868/9868	---MCZ	200	added ('OK')	text/css	date:Wed,%2013%20Aug%202025%2001:24:09%20GMT	https://web-static.archive.org/_static/css/banner-styles.css?v=p7PEIJWi	C:/My%20Web%20Sites/KFBL/web-static.archive.org/_static/css/banner-styles3ae1.css	(from https://web.archive.org/web/20210402140616/https://kfbl.webs.com/)
14:22:42	381452/381452	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2013%20Aug%202025%2001:23:27%20GMT	https://web-static.archive.org/_static/js/ruffle/ruffle.js	C:/My%20Web%20Sites/KFBL/web-static.archive.org/_static/js/ruffle/ruffle.js	(from https://web.archive.org/web/20210402140616/https://kfbl.webs.com/)
14:22:43	5649/5649	---MCZ	200	added ('OK')	text/css	date:Wed,%2013%20Aug%202025%2001:23:27%20GMT	https://web-static.archive.org/_static/css/iconochive.css?v=3PDvdIFv	C:/My%20Web%20Sites/KFBL/web-static.archive.org/_static/css/iconochive29a7.css	(from https://web.archive.org/web/20210402140616/https://kfbl.webs.com/)
14:22:44	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2008%20Sep%202025%2002:22:39%20GMT	https://web.archive.org/web/20210402140616js_/https://static.websimages.com/active-static/lib/modernizr-old.js	C:/My%20Web%20Sites/KFBL/web.archive.org/web/20210402140616js_/https_/static.websimages.com/active-static/lib/modernizr-old.js	(from https://web.archive.org/web/20210402140616/https://kfbl.webs.com/)
14:22:45	5030/5030	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2008%20Sep%202025%2002:22:41%20GMT	https://web.archive.org/web/20210402125337js_/https://static.websimages.com/active-static/lib/modernizr-old.js	C:/My%20Web%20Sites/KFBL/web.archive.org/web/20210402125337js_/https_/static.websimages.com/active-static/lib/modernizr-old.js	(from https://web.archive.org/web/20210402140616/https://kfbl.webs.com/)
14:22:46	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2008%20Sep%202025%2002:22:42%20GMT	https://web.archive.org/web/20210402140616js_/https://static.websimages.com/static/global/js/require.js	C:/My%20Web%20Sites/KFBL/web.archive.org/web/20210402140616js_/https_/static.websimages.com/static/global/js/require.js	(from https://web.archive.org/web/20210402140616/https://kfbl.webs.com/)
14:22:50	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2008%20Sep%202025%2002:22:45%20GMT	http://web.archive.org/web/20210402140616js_/https://ajax.googleapis.com/ajax/libs/jquery/1.8/jquery.min.js	C:/My%20Web%20Sites/KFBL/web.archive.org/web/20210402140616js_/https_/ajax.googleapis.com/ajax/libs/jquery/1.8/jquery.min.9.delayed	(from https://web.archive.org/web/20210402140616/https://kfbl.webs.com/)
14:22:50	14812/14812	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2008%20Sep%202025%2002:22:44%20GMT	https://web.archive.org/web/20210402125337js_/https://static.websimages.com/static/global/js/require.js	C:/My%20Web%20Sites/KFBL/web.archive.org/web/20210402125337js_/https_/static.websimages.com/static/global/js/require.js	(from https://web.archive.org/web/20210402140616/https://kfbl.webs.com/)
14:22:55	94971/94971	---MC-	200	added ('OK')	text/javascript	date:Mon,%2008%20Sep%202025%2002:22:47%20GMT	http://web.archive.org/web/20210402133418js_/http://ajax.googleapis.com/ajax/libs/jquery/1.8/jquery.min.js	C:/My%20Web%20Sites/KFBL/web.archive.org/web/20210402133418js_/http_/ajax.googleapis.com/ajax/libs/jquery/1.8/jquery.min.js	(from https://web.archive.org/web/20210402140616/https://kfbl.webs.com/)
14:22:55	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2008%20Sep%202025%2002:22:49%20GMT	https://web.archive.org/web/20210402140616js_/https://static.websimages.com/active-static/target/apps/bootstrap.js	C:/My%20Web%20Sites/KFBL/web.archive.org/web/20210402140616js_/https_/static.websimages.com/active-static/target/apps/bootstrap.js	(from https://web.archive.org/web/20210402140616/https://kfbl.webs.com/)
14:22:59	5979/5979	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2008%20Sep%202025%2002:22:54%20GMT	https://web.archive.org/web/20210402125337js_/https://static.websimages.com/active-static/target/apps/bootstrap.js	C:/My%20Web%20Sites/KFBL/web.archive.org/web/20210402125337js_/https_/static.websimages.com/active-static/target/apps/bootstrap.js	(from https://web.archive.org/web/20210402140616/https://kfbl.webs.com/)
14:23:00	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2008%20Sep%202025%2002:22:55%20GMT	http://web.archive.org/web/20210402140616cs_/https://kfbl.webs.com/.theme.css?pubDate=210305151540	C:/My%20Web%20Sites/KFBL/web.archive.org/web/20210402140616cs_/https_/kfbl.webs.com/.themed4da.css	(from https://web.archive.org/web/20210402140616/https://kfbl.webs.com/)
14:23:01	122455/122455	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Sep%202025%2002:22:56%20GMT	http://web.archive.org/web/20210402140636cs_/https://kfbl.webs.com/.theme.css?pubDate=210305151540	C:/My%20Web%20Sites/KFBL/web.archive.org/web/20210402140636cs_/https_/kfbl.webs.com/.themed4da.css	(from https://web.archive.org/web/20210402140616/https://kfbl.webs.com/)
14:23:06	86978/86978	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Sep%202025%2002:23:01%20GMT	https://web.archive.org/web/20210402140616cs_/https://static.websimages.com/v3ff68b7/static/projects/finch/css/sitebase.css	C:/My%20Web%20Sites/KFBL/web.archive.org/web/20210402140616cs_/https_/static.websimages.com/v3ff68b7/static/projects/finch/css/sitebase.css	(from https://web.archive.org/web/20210402140616/https://kfbl.webs.com/)
14:23:07	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2008%20Sep%202025%2002:23:02%20GMT	https://web.archive.org/web/20210402140616js_/https://www.google.com/recaptcha/api.js	C:/My%20Web%20Sites/KFBL/web.archive.org/web/20210402140616js_/https_/www.google.com/recaptcha/api.10.delayed	(from https://web.archive.org/web/20210402140616/https://kfbl.webs.com/)
14:23:09	2319/2319	---MC-	200	added ('OK')	text/javascript	date:Mon,%2008%20Sep%202025%2002:23:05%20GMT	https://web.archive.org/web/20210402140615js_/https://www.google.com/recaptcha/api.js	C:/My%20Web%20Sites/KFBL/web.archive.org/web/20210402140615js_/https_/www.google.com/recaptcha/api.js	(from https://web.archive.org/web/20210402140616/https://kfbl.webs.com/)
14:23:12	1695/1695	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2008%20Sep%202025%2002:23:07%20GMT	https://web.archive.org/web/20210402140616js_/https://static.websimages.com/v3ff68b7/active-static/target/internal/sitebuilder/view/view.app.js	C:/My%20Web%20Sites/KFBL/web.archive.org/web/20210402140616js_/https_/static.websimages.com/v3ff68b7/active-static/target/internal/sitebuilder/view/view.app.js	(from https://web.archive.org/web/20210402140616/https://kfbl.webs.com/)
14:23:12	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2008%20Sep%202025%2002:23:07%20GMT	https://web.archive.org/web/20210402140616cs_/https://static.websimages.com/active-static/target/usersites/css/fixedFreebar.css	C:/My%20Web%20Sites/KFBL/web.archive.org/web/20210402140616cs_/https_/static.websimages.com/active-static/target/usersites/css/fixedFreebar.css	(from https://web.archive.org/web/20210402140616/https://kfbl.webs.com/)
14:23:14	2631/2631	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Sep%202025%2002:23:09%20GMT	https://web.archive.org/web/20210402125337cs_/https://static.websimages.com/active-static/target/usersites/css/fixedFreebar.css	C:/My%20Web%20Sites/KFBL/web.archive.org/web/20210402125337cs_/https_/static.websimages.com/active-static/target/usersites/css/fixedFreebar.css	(from https://web.archive.org/web/20210402140616/https://kfbl.webs.com/)
14:23:15	0/0	---M--	302	error ('FOUND')	text/plain	date:Mon,%2008%20Sep%202025%2002:23:10%20GMT	https://web.archive.org/web/20210402140616js_/https://static.websimages.com/static/global/js/webs/usersites/p.js	C:/My%20Web%20Sites/KFBL/web.archive.org/web/20210402140616js_/https_/static.websimages.com/static/global/js/webs/usersites/p.js	(from https://web.archive.org/web/20210402140616/https://kfbl.webs.com/)
